CNES,LB,UB,LAT,LON,CEP
10456,23,66,-15.8007912,-47.8876608,70335900
10464,10,10,-15.7843417,-47.8841141,70710100
10472,8,20,-16.016125,-48.065338,72405901
10480,6,6,-15.8184508,-48.0957291,72215270
10499,6,6,-15.8016557,-48.0586873,72120970
10502,6,6,-15.6756759,-47.8278318,73010901
10510,4,19,-15.7986258,-47.8854909,70310500
10537,4,4,-15.819744,-47.892514,70203900
2645157,9,10,-15.7814006,-47.7817263,71570903
2649497,0,9,-15.8586625,-48.0424157,72025110
2672197,0,27,-15.8532881,-48.0733139,72322583
2673916,12,12,-15.7946504,-47.8933064,70335901
3013162,0,20,-16.017804124045,-48.0517549185466,72460000
3018520,0,5,-15.8274617102773,-48.1179690640105,72220280
3276678,20,20,-15.7979572461783,-47.9257504257707,70673900
5717515,29,40,-16.039686262293,-48.0360510975131,72502100
6243495,0,30,-15.8353442,-47.9113094,70200730
6730914,8,20,-15.7899306,-47.9409155,70648010
7978642,0,40,-15.790032,-47.884043,71615660
9040021,0,13,-15.8167545,-48.0968505,72215178
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7978642,0,40,,,
,,,,,
9040021,0,13,,,
