RA,POP,DEMAND,LAT,LON
Plano Piloto,230310,16,-15.71836875,-47.9950273035318
Gama,143688,10,-16.0170857,-48.0653054
Taguatinga,208177,14,-15.8335277,-48.0565716
Brazlândia,64027,5,-15.6808898,-48.1942621
Sobradinho,71165,5,-15.6500533,-47.7848449
Planaltina,196086,13,-15.6181947,-47.6555703
Paranoá,74690,5,-15.77544,-47.7797631
Núcleo Bandeirante,24019,2,-15.8711851,-47.9679941
Ceilândia,443824,30,-15.8173391,-48.1045766
Guará,140560,10,-15.8235629,-47.9768165
Cruzeiro,30854,3,-15.7907819,-47.9374426
Samambaia,244960,17,-15.8769989,-48.0881004
Santa Maria,129271,9,-16.0171229,-48.0131328
São Sebastião,115988,8,-15.9033774,-47.7717736
Recanto das Emas,132447,9,-15.9025481,-48.0607778
Lago Sul,30320,3,-15.8391817,-47.8755338
Riacho Fundo,43815,3,-15.883305,-48.0174762
Lago Norte,37127,3,-15.7342351,-47.8641578
Candangolândia,16338,2,-15.8536609,-47.9493775
Águas Claras,170636,12,-15.8419933,-48.0281208
Riacho Fundo 2,43815,3,-15.9071139,-48.048811
Sudoeste/Octogonal,55258,4,-15.8002187,-47.9243896
Varjão,8829,1,-15.710824,-47.8763338
Park Way,23058,2,-15.9027386,-47.963322
Estrutural/Scia,36770,3,-15.78207955,-47.9968684683707
Sobradinho II,78283,6,-15.6437253,-47.8260143
Jardim Botânico,58138,4,-15.863892,-47.7885208
Itapoã,64747,5,-15.7484526,-47.7696938
SIA,2621,1,-15.8061818,-47.9591582
Vicente Pires,73452,5,-15.8135709,-48.0156045
Fercal,9472,1,-15.6002334,-47.8715955
Sol Nascente/Pôr do Sol,83102,6,-15.8261127,-48.137289
Arniqueira,39236,3,-15.858976,-48.0122281
