loc,lat,long,population
Plano Piloto,-15.71836875,-47.99502730353181,230310
Gama,-16.0170857,-48.0653054,143688
Taguatinga,-15.8335277,-48.0565716,208177
Brazlândia,-15.6808898,-48.1942621,64027
Sobradinho,-15.6500533,-47.7848449,71165
Planaltina,-15.6181947,-47.6555703,196086
Paranoá,-15.77544,-47.7797631,74690
Núcleo Bandeirante,-15.8711851,-47.9679941,24019
Ceilândia,-15.8173391,-48.1045766,443824
Guará,-15.8235629,-47.9768165,140560
Cruzeiro,-15.7907819,-47.9374426,30854
Samambaia,-15.8769989,-48.0881004,244960
Santa Maria,-16.0171229,-48.0131328,129271
São Sebastião,-15.9033774,-47.7717736,115988
Recanto das Emas,-15.9025481,-48.0607778,132447
Lago Sul,-15.8391817,-47.8755338,30320
Riacho Fundo,-15.883305,-48.0174762,43815
Lago Norte,-15.7342351,-47.8641578,37127
Candangolândia,-15.8536609,-47.9493775,16338
Águas Claras,-15.8419933,-48.0281208,170636
Riacho Fundo 2,-15.9071139,-48.048811,43815
Sudoeste/Octogonal,-15.8002187,-47.9243896,55258
Varjão,-15.710824,-47.8763338,8829
Park Way,-15.9027386,-47.963322,23058
Estrutural/Scia,-15.782079549999999,-47.99686846837068,36770
Sobradinho II,-15.6437253,-47.8260143,78283
Jardim Botânico,-15.863892,-47.7885208,58138
Itapoã,-15.7484526,-47.7696938,64747
SIA,-15.8061818,-47.9591582,2621
Vicente Pires,-15.8135709,-48.0156045,73452 
Fercal,-15.6002334,-47.8715955,9472
Sol Nascente/Pôr do Sol,-15.8261127,-48.137289,
Arniqueira,-15.858976,-48.0122281,
Arapoanga,-15.6421766,-47.6515388,
Água Quente,-15.9418953,-48.2331521,
