COD UF,COD,NOME,MUNICIPIO
11,1100015,Alta Floresta D'oeste,ALTA FLORESTA D'OESTE
11,1100023,Ariquemes,ARIQUEMES
11,1100031,Cabixi,CABIXI
11,1100049,Cacoal,CACOAL
11,1100056,Cerejeiras,CEREJEIRAS
11,1100064,Colorado do Oeste,COLORADO DO OESTE
11,1100072,Corumbiara,CORUMBIARA
11,1100080,Costa Marques,COSTA MARQUES
11,1100098,Espigão D'oeste,ESPIGAO D'OESTE
11,1100106,Guajará-Mirim,GUAJARA-MIRIM
11,1100114,Jaru,JARU
11,1100122,Ji-Paraná,JI-PARANA
11,1100130,Machadinho D'oeste,MACHADINHO D'OESTE
11,1100148,Nova Brasilândia D'oeste,NOVA BRASILANDIA D'OESTE
11,1100155,Ouro Preto do Oeste,OURO PRETO DO OESTE
11,1100189,Pimenta Bueno,PIMENTA BUENO
11,1100205,Porto Velho,PORTO VELHO
11,1100254,Presidente Médici,PRESIDENTE MEDICI
11,1100262,Rio Crespo,RIO CRESPO
11,1100288,Rolim de Moura,ROLIM DE MOURA
11,1100296,Santa Luzia D'oeste,SANTA LUZIA D'OESTE
11,1100304,Vilhena,VILHENA
11,1100320,São Miguel do Guaporé,SAO MIGUEL DO GUAPORE
11,1100338,Nova Mamoré,NOVA MAMORE
11,1100346,Alvorada D'oeste,ALVORADA D'OESTE
11,1100379,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS
11,1100403,Alto Paraíso,ALTO PARAISO
11,1100452,Buritis,BURITIS
11,1100502,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE
11,1100601,Cacaulândia,CACAULANDIA
11,1100700,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA
11,1100809,Candeias do Jamari,CANDEIAS DO JAMARI
11,1100908,Castanheiras,CASTANHEIRAS
11,1100924,Chupinguaia,CHUPINGUAIA
11,1100940,Cujubim,CUJUBIM
11,1101005,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA
11,1101104,Itapuã do Oeste,ITAPUA DO OESTE
11,1101203,Ministro Andreazza,MINISTRO ANDREAZZA
11,1101302,Mirante da Serra,MIRANTE DA SERRA
11,1101401,Monte Negro,MONTE NEGRO
11,1101435,Nova União,NOVA UNIAO
11,1101450,Parecis,PARECIS
11,1101468,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE
11,1101476,Primavera de Rondônia,PRIMAVERA DE RONDONIA
11,1101484,São Felipe D'oeste,SAO FELIPE D'OESTE
11,1101492,São Francisco do Guaporé,SAO FRANCISCO DO GUAPORE
11,1101500,Seringueiras,SERINGUEIRAS
11,1101559,Teixeirópolis,TEIXEIROPOLIS
11,1101609,Theobroma,THEOBROMA
11,1101708,Urupá,URUPA
11,1101757,Vale do Anari,VALE DO ANARI
11,1101807,Vale do Paraíso,VALE DO PARAISO
12,1200013,Acrelândia,ACRELANDIA
12,1200054,Assis Brasil,ASSIS BRASIL
12,1200104,Brasiléia,BRASILEIA
12,1200138,Bujari,BUJARI
12,1200179,Capixaba,CAPIXABA
12,1200203,Cruzeiro do Sul,CRUZEIRO DO SUL
12,1200252,Epitaciolândia,EPITACIOLANDIA
12,1200302,Feijó,FEIJO
12,1200328,Jordão,JORDAO
12,1200336,Mâncio Lima,MANCIO LIMA
12,1200344,Manoel Urbano,MANOEL URBANO
12,1200351,Marechal Thaumaturgo,MARECHAL THAUMATURGO
12,1200385,Plácido de Castro,PLACIDO DE CASTRO
12,1200393,Porto Walter,PORTO WALTER
12,1200401,Rio Branco,RIO BRANCO
12,1200427,Rodrigues Alves,RODRIGUES ALVES
12,1200435,Santa Rosa do Purus,SANTA ROSA DO PURUS
12,1200450,Senador Guiomard,SENADOR GUIOMARD
12,1200500,Sena Madureira,SENA MADUREIRA
12,1200609,Tarauacá,TARAUACA
12,1200708,Xapuri,XAPURI
12,1200807,Porto Acre,PORTO ACRE
13,1300029,Alvarães,ALVARAES
13,1300060,Amaturá,AMATURA
13,1300086,Anamã,ANAMA
13,1300102,Anori,ANORI
13,1300144,Apuí,APUI
13,1300201,Atalaia do Norte,ATALAIA DO NORTE
13,1300300,Autazes,AUTAZES
13,1300409,Barcelos,BARCELOS
13,1300508,Barreirinha,BARREIRINHA
13,1300607,Benjamin Constant,BENJAMIN CONSTANT
13,1300631,Beruri,BERURI
13,1300680,Boa Vista do Ramos,BOA VISTA DO RAMOS
13,1300706,Boca do Acre,BOCA DO ACRE
13,1300805,Borba,BORBA
13,1300839,Caapiranga,CAAPIRANGA
13,1300904,Canutama,CANUTAMA
13,1301001,Carauari,CARAUARI
13,1301100,Careiro,CAREIRO
13,1301159,Careiro da Várzea,CAREIRO DA VARZEA
13,1301209,Coari,COARI
13,1301308,Codajás,CODAJAS
13,1301407,Eirunepé,EIRUNEPE
13,1301506,Envira,ENVIRA
13,1301605,Fonte Boa,FONTE BOA
13,1301654,Guajará,GUAJARA
13,1301704,Humaitá,HUMAITA
13,1301803,Ipixuna,IPIXUNA
13,1301852,Iranduba,IRANDUBA
13,1301902,Itacoatiara,ITACOATIARA
13,1301951,Itamarati,ITAMARATI
13,1302009,Itapiranga,ITAPIRANGA
